0: System Idle Process
4: System
10348: conhost.exe
10400: svchost.exe
10464: msedgewebview2.exe
10488: WebexHost.exe
10640: BingWallpaper.exe
10724: svchost.exe
10732: CrossDeviceService.exe
10812: msedgewebview2.exe
11292: svchost.exe
11420: FnHotkeyCapsLKNumLK.exe
11588: msedgewebview2.exe
11904: wpscenter.exe
11996: svchost.exe
12028: RuntimeBroker.exe
12044: TabTip.exe
12160: NisSrv.exe
12340: AdobeCollabSync.exe
12356: conhost.exe
12368: chrome.exe
12492: Locator.exe
12648: OneDrive.exe
12856: svchost.exe
12992: WTabletServiceISD.exe
13008: svchost.exe
13296: wpscloudsvr.exe
13304: chrome.exe
13352: Code.exe
13472: RuntimeBroker.exe
13732: YB9.SmartNote.exe
13860: conhost.exe
14116: EndpointBasecamp.exe
14136: svchost.exe
14200: msedgewebview2.exe
14376: msedgewebview2.exe
14524: UnInstDaemon.exe
14648: RuntimeBroker.exe
14736: explorer.exe
14856: conhost.exe
14872: powershell.exe
14892: svchost.exe
14940: wps.exe
14956: FileCoAuth.exe
14968: LenovoVantage-(SmartDisplayAddin).exe
15152: powershell.exe
15436: chrome.exe
15612: svchost.exe
15692: LSNUpdater.exe
16228: chrome.exe
16248: chrome.exe
16372: Code.exe
16420: msedgewebview2.exe
16620: chrome.exe
16624: sihost.exe
16644: Code.exe
16688: svchost.exe
17004: svchost.exe
17044: svchost.exe
17096: conhost.exe
17108: RuntimeBroker.exe
17524: SearchIndexer.exe
17848: svchost.exe
17944: LenovoVantage-(VantageCoreAddin).exe
18172: chrome.exe
18384: svchost.exe
18520: promecefpluginhost.exe
18648: svchost.exe
18688: LsaServerPartner.exe
18996: ctfmon.exe
19016: chrome.exe
19060: svchost.exe
19152: svchost.exe
19244: svchost.exe
19400: SecurityHealthService.exe
19668: SystemSettings.exe
19776: esrv.exe
19940: Lenovo.Modern.ImController.PluginHost.Device.exe
19976: svchost.exe
20104: wps.exe
20444: powershell.exe
20520: dllhost.exe
20768: UserOOBEBroker.exe
20924: unsecapp.exe
20968: wps.exe
21112: IntelGraphicsSoftware.exe
21184: svchost.exe
21292: AdobeCollabSync.exe
21612: chrome.exe
21808: python.exe
21980: chrome.exe
22120: Code.exe
22276: Code.exe
22380: chrome.exe
22452: csrss.exe
22760: ApplicationFrameHost.exe
22908: chrome.exe
23208: svchost.exe
23236: AutoModeDetect.exe
23392: chrome.exe
23428: RuntimeBroker.exe
23480: FileSyncHelper.exe
23508: svchost.exe
23516: dllhost.exe
23536: LenovoSmartAppearance.exe
23632: crashpad_handler.exe
23824: msedgewebview2.exe
24076: chrome.exe
24128: unsecapp.exe
24136: WmiPrvSE.exe
24260: svchost.exe
24356: PushNotificationsLongRunningTask.exe
24532: LenovoSmartNote.exe
24708: FaceBeautify.exe
25556: msedgewebview2.exe
25572: svchost.exe
25628: PackageLauncher.exe
25688: FnHotkeyUtility.exe
26104: Code.exe
26260: WmiApSrv.exe
26308: msedgewebview2.exe
26636: promecefpluginhost.exe
27052: QSHelper.exe
27212: LenovoVantage-(LenovoServiceBridgeAddin).exe
27252: msedgewebview2.exe
27292: RtkAudUService64.exe
27624: taskhostw.exe
27628: ipf_helper.exe
27816: SecurityHealthSystray.exe
27832: ShellHost.exe
27992: chrome.exe
28036: powershell.exe
28224: backgroundTaskHost.exe
28464: BingSvc.exe
28552: conhost.exe
28648: RuntimeBroker.exe
28888: Code.exe
29228: RuntimeBroker.exe
29912: WhatsApp.exe
30472: chrome.exe
30676: svchost.exe
31092: conhost.exe
31240: Code.exe
31420: WmiPrvSE.exe
