0: System Idle Process
4: System
18068: jucheck.exe
18316: AdskAccessUIHost.exe
18408: cmd.exe
18416: svchost.exe
18448: jusched.exe
18784: chrome.exe
18828: LenovoVantage-(VantageCoreAddin).exe
18852: brave.exe
19016: WSHelper.exe
19236: AdskAccessService.exe
19424: msedgewebview2.exe
19500: msedgewebview2.exe
19512: msedgewebview2.exe
19700: msedgewebview2.exe
19736: WebexHost.exe
19812: CrossDeviceService.exe
19860: svchost.exe
19884: ms-teams.exe
20064: WebViewHost.exe
20084: WsToastNotification.exe
20092: conhost.exe
20252: RuntimeBroker.exe
20260: FileCoAuth.exe
20308: msedgewebview2.exe
20328: brave.exe
20348: msedgewebview2.exe
20604: Code.exe
20664: ShellHost.exe
20696: svchost.exe
20832: conhost.exe
20900: svchost.exe
21036: svchost.exe
21196: svchost.exe
21216: dllhost.exe
21252: msedgewebview2.exe
21316: msedgewebview2.exe
21512: Code.exe
21588: Code.exe
21736: Code.exe
22160: Code.exe
22276: svchost.exe
22392: Code.exe
22520: cmd.exe
23036: svchost.exe
23084: Code.exe
23236: svchost.exe
23428: Code.exe
23460: dllhost.exe
